form,pos,animacy
Gott,noun,animate
Tag,noun,inanimate
Zeit,noun,inanimate
Sünde,noun,inanimate
Gnade,noun,inanimate
Name,noun,inanimate
Nichts,noun,inanimate
Wille,noun,inanimate
Freude,noun,inanimate
Gemahl,noun,human
Gute,noun,inanimate
Tugend,noun,inanimate
Minne,noun,inanimate
Jahr,noun,inanimate
Teufel,noun,"animate, human"
Land,noun,inanimate
Auge,noun,inanimate
Hand,noun,inanimate
Marter,noun,inanimate
Gewalt,noun,inanimate
Bevollmächtigter,noun,human
Bergrücken,noun,inanimate
Herrschaft,noun,"inanimate, human"
Reichtum,noun,inanimate
Licht,noun,inanimate
Christlichkeit,noun,inanimate
Wahrheit,noun,inanimate
Fuß,noun,"animate, inanimate"
Recht,noun,inanimate
Gerade,noun,inanimate
Reibung,noun,inanimate
Stimme,noun,"animate, inanimate"
Gebet,noun,inanimate
Nacht,noun,inanimate
Glaube,noun,inanimate
Lohn,noun,inanimate
Gebot,noun,inanimate
Vertrauen,noun,inanimate
Helle,noun,inanimate
Kraft,noun,inanimate
Frieden,noun,inanimate
Wahrsagerei,noun,inanimate
Weissager,noun,human
Unrecht,noun,inanimate
Rede,noun,inanimate
Trost,noun,inanimate
Ausrede,noun,inanimate
Geburt,noun,inanimate
Zeichen,noun,inanimate
Furcht,noun,inanimate
Göttlichkeit,noun,inanimate
Himmelreich,noun,inanimate
Mahl,noun,"animate, inanimate"
Unwille,noun,inanimate
Zorn,noun,inanimate
Schrift,noun,inanimate
Lenker,noun,"inanimate, human"
Gatte,noun,human
Handlung,noun,inanimate
Nachrede,noun,inanimate
Sprache,noun,inanimate
Widerrede,noun,inanimate
Siegel,noun,inanimate
Wappenbild,noun,inanimate
Vorzeichen,noun,inanimate
Wunderzeichen,noun,inanimate
Ruhe,noun,inanimate
Hölle,noun,inanimate
Rücken,noun,inanimate
Erinnerung,noun,"animate, inanimate"
Wort,noun,"animate, inanimate"
Böse,noun,inanimate
Reue,noun,inanimate
Gottessohn,noun,human
Menge,noun,"inanimate, human"
Mehrbetrag,noun,inanimate
Schlacht,noun,inanimate
Gattung,noun,inanimate
Huld,noun,inanimate
Dienstbarkeit,noun,inanimate
Urteil,noun,inanimate
Heide,noun,"animate, inanimate"
Heiden,noun,human
Heidentum,noun,inanimate
Heidekorn,noun,inanimate
Erhabenheit,noun,"inanimate, human"
Leib,noun,animate
Teil,noun,inanimate
Treue,noun,inanimate
Wald,noun,"animate, inanimate"
Weingarten,noun,"animate, inanimate"
Denkkraft,noun,inanimate
Fasten,noun,inanimate
Buße,noun,inanimate
Fastenzeit,noun,inanimate
Heiland,noun,human
Gier,noun,inanimate
Gesundheit,noun,inanimate
Taufe,noun,inanimate
Taufstein,noun,inanimate
Taufwasser,noun,inanimate
Marterer,noun,human
Heil,noun,inanimate
Abgott,noun,"animate, inanimate"
Frage,noun,inanimate
Beratung,noun,inanimate
Rätselfrage,noun,inanimate
Bruch,noun,inanimate
Brust,noun,inanimate
Kreatur,noun,animate
Wucher,noun,inanimate
Ohr,noun,inanimate
Kopf,noun,inanimate
Traum,noun,inanimate
Gemüt,noun,human
Fleiß,noun,inanimate
Missetat,noun,inanimate
Almosen,noun,inanimate
Regel,noun,inanimate
Andacht,noun,inanimate
Süße,noun,inanimate
Erbarmen,noun,inanimate
Leiden,noun,inanimate
Kerker,noun,inanimate
Tun,noun,inanimate
Ordnung,noun,inanimate
Taugender,noun,human
Höchste,noun,"inanimate, human"
Weistum,noun,inanimate
Übel,noun,inanimate
Ablass,noun,inanimate
Anlass,noun,inanimate
Gabe,noun,inanimate
Abgabe,noun,inanimate
Bestechung,noun,inanimate
Anfang,noun,inanimate
Bekehrung,noun,inanimate
Kosten,noun,inanimate
Klostergemeinschaft,noun,human
Weisheit,noun,inanimate
Gewissheit,noun,inanimate
Keuschheit,noun,inanimate
Wonne,noun,inanimate
Jungfräulichkeit,noun,inanimate
Schlaf,noun,inanimate
Wiesenland,noun,inanimate
Schläfe,noun,inanimate
Befehl,noun,inanimate
Angst,noun,inanimate
Bedrängnis,noun,inanimate
Begierde,noun,inanimate
Gelüst,noun,inanimate
Streit,noun,inanimate
Schritt,noun,inanimate
Hirte,noun,human
Ungemach,noun,inanimate
Unruhe,noun,inanimate
Rache,noun,inanimate
Streben,noun,inanimate
Wettstreit,noun,inanimate
Garten,noun,"animate, inanimate"
Gewohnheit,noun,inanimate
Paradies,noun,inanimate
Siechtum,noun,inanimate
Gehorsam,noun,inanimate
Stolz,noun,inanimate
Übermut,noun,inanimate
Armut,noun,inanimate
Freundschaft,noun,inanimate
Liebschaft,noun,human
Verwantschaft,noun,human
Hunger,noun,inanimate
Jammer,noun,inanimate
Wüste,noun,inanimate
